RECORDED=2021-01-07--11:56:16
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,acceleration,depth
0,4091,901,1858,-1.0483799999999999,0.0
1,4092,903,1858,-1.046072727272727,0.0
2,4092,905,1857,-1.0437654545454544,0.0
3,4093,904,1859,-1.0414581818181816,0.0
4,4092,906,1861,-1.039150909090909,0.0
5,4091,903,1858,-1.0368436363636362,0.0
6,4091,904,1857,-1.0345363636363636,0.0
7,4091,902,1858,-1.0322290909090908,0.0
8,4091,901,1857,-1.0299218181818182,0.0
9,4091,904,1857,-1.0276145454545453,0.0
10,4090,903,1858,-1.0253072727272727,0.0
11,4091,901,1857,-1.023,0.0
12,4093,905,1857,-1.0199945454545454,0.0
13,4091,903,1857,-1.0169890909090908,0.0
14,4093,904,1860,-1.0139836363636363,0.0
15,4090,902,1861,-1.0109781818181818,0.0
16,4091,902,1856,-1.0079727272727272,0.0
17,4091,902,1859,-1.0049672727272727,0.0
18,4092,904,1857,-1.0019618181818182,0.0
19,4091,902,1858,-0.9989563636363635,0.0
20,4094,904,1862,-0.995950909090909,0.0
21,4091,903,1856,-0.9929454545454545,0.0
22,4095,903,1857,-0.9899399999999999,0.0
23,4089,902,1859,-0.9892299999999999,0.0
24,4092,904,1857,-0.98852,0.0
25,4091,902,1860,-0.98781,0.0
26,4090,902,1860,-0.9871,0.0
27,4095,907,1858,-0.98639,0.0
28,4093,903,1860,-0.9856799999999999,0.0
29,4091,900,1858,-0.9849699999999999,0.0
30,4091,902,1858,-0.9842599999999999,0.0
31,4090,903,1860,-0.9835499999999999,0.0
32,4090,904,1859,-0.9828399999999999,0.0
33,4091,904,1858,-0.98213,0.0
34,4090,902,1862,-0.98142,0.0
35,4091,902,1858,-0.9827618181818182,0.0
36,4091,902,1857,-0.9841036363636363,0.0
37,4091,904,1857,-0.9854454545454545,0.0
38,4092,904,1860,-0.9867872727272727,0.0
39,4091,904,1857,-0.988129090909091,0.0
40,4088,904,1858,-0.9894709090909091,0.0
41,4093,906,1857,-0.9908127272727273,0.0
42,4092,902,1858,-0.9921545454545455,0.0
43,4092,902,1859,-0.9934963636363637,0.0
44,4091,904,1859,-0.9948381818181818,0.0
45,4092,903,1857,-0.9961800000000001,0.0
46,4093,905,1863,-0.9982300000000001,0.0
47,4090,902,1858,-1.00028,0.0
48,4091,904,1858,-1.0023300000000002,0.0
49,4091,902,1859,-1.00438,0.0
50,4092,902,1858,-1.00643,0.0
51,4093,906,1860,-1.00848,0.0
52,4091,903,1857,-1.0105300000000002,0.0
53,4091,904,1859,-1.01258,0.0
54,4091,904,1860,-1.01463,0.0
55,4091,901,1855,-1.01668,0.0
56,4091,902,1859,-1.0187300000000001,0.0
57,4092,903,1859,-1.02078,0.0
58,4093,907,1864,-1.0224981818181818,0.0
59,4091,902,1857,-1.0242163636363637,0.0
60,4092,905,1857,-1.0259345454545454,0.0
61,4092,904,1860,-1.0276527272727272,0.0
62,4090,903,1858,-1.0293709090909091,0.0
63,4092,903,1860,-1.0310890909090908,0.0
64,4091,903,1855,-1.0328072727272728,0.0
65,4091,902,1859,-1.0345254545454545,0.0
66,4091,902,1858,-1.0362436363636363,0.0
67,4091,904,1858,-1.0379618181818182,0.0
68,4091,902,1858,-1.03968,0.0
69,4092,903,1857,-1.0387854545454545,0.0
70,4091,905,1859,-1.037890909090909,0.0
71,4094,904,1858,-1.0369963636363637,0.0
72,4091,902,1856,-1.0361018181818182,0.0
73,4091,902,1858,-1.0352072727272728,0.0
74,4091,901,1859,-1.0343127272727273,0.0
75,4089,902,1858,-1.0334181818181818,0.0
76,4090,905,1858,-1.0325236363636363,0.0
77,4092,901,1857,-1.031629090909091,0.0
78,4090,904,1859,-1.0307345454545456,0.0
79,4094,904,1856,-1.02984,0.0
80,4091,902,1859,-1.029465,0.0
81,4090,901,1858,-1.02909,0.0
82,4091,903,1856,-1.028715,0.0
83,4091,902,1858,-1.02834,0.0
84,4094,903,1860,-1.027965,0.0
85,4091,903,1858,-1.02759,0.0
86,4092,905,1858,-1.027215,0.0
87,4090,903,1858,-1.02684,0.0
